fileId,fileUrls for custom selected,size
8360221272,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/204/AERDT_L2_VIIRS_SNPP.A2024204.0842.002.2024204213040.nc,11853886
8360263383,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/204/AERDT_L2_VIIRS_SNPP.A2024204.1006.002.2024204225036.nc,15479777
8361032118,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/205/AERDT_L2_VIIRS_SNPP.A2024205.0318.002.2024205162859.nc,10744355
8361043564,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/205/AERDT_L2_VIIRS_SNPP.A2024205.0442.002.2024205170734.nc,14951735
8361046365,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/205/AERDT_L2_VIIRS_SNPP.A2024205.0454.002.2024205172754.nc,10065883
8361046367,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/205/AERDT_L2_VIIRS_SNPP.A2024205.0448.002.2024205172737.nc,8687009
8361046369,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/205/AERDT_L2_VIIRS_SNPP.A2024205.0500.002.2024205172800.nc,10428178
8361094434,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/205/AERDT_L2_VIIRS_SNPP.A2024205.0624.002.2024205191745.nc,14744888
8361094474,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/205/AERDT_L2_VIIRS_SNPP.A2024205.0630.002.2024205191747.nc,10920736
8361094477,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/205/AERDT_L2_VIIRS_SNPP.A2024205.0636.002.2024205191751.nc,8153897
8361094479,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/205/AERDT_L2_VIIRS_SNPP.A2024205.0642.002.2024205191752.nc,10691089
8361162536,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/205/AERDT_L2_VIIRS_SNPP.A2024205.0812.002.2024205203725.nc,11990214
8361162537,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/205/AERDT_L2_VIIRS_SNPP.A2024205.0806.002.2024205203721.nc,13501692
8361166619,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/205/AERDT_L2_VIIRS_SNPP.A2024205.0818.002.2024205204801.nc,9745025
8361166620,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/205/AERDT_L2_VIIRS_SNPP.A2024205.0824.002.2024205204802.nc,11297813
8361201483,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/205/AERDT_L2_VIIRS_SNPP.A2024205.0954.002.2024205221745.nc,10359551
8361201484,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/205/AERDT_L2_VIIRS_SNPP.A2024205.0948.002.2024205221740.nc,13026087
